duration,text,hearts
265,,1
265,,3
266,,1
266,NOOOOO,0
267,bye,0
268,NOOOOO,0
269,,3
269,hiiii simon,0
269,NONONONO,0
269,ok actual tears now,0
270,omg im crying!!! bb!!,0
271,,5
271,i am tears af ,0
271,WTF IS HAPPENING AFTER :'(,0
271,AGH,0
271,FASTER,0
272,FASTEST,0
272,,9
273,,3
273,bye simon,0
274,OH NOOO,0
274,FUCKKKK,0
274,bye simon ,0
275,I LOVE U SIMON,0
275,actaully cryying now,0
275,I'M NOT READY FOR THIS TO END,0
276,bb up the bpm here!!,0
277,,1
277,i feel it all,0
278,;;;; O ;;;;; COUPLE BILLIONS IN THE WHOLE WIDE WORLD,0
278,,3
279,OMGGGGGGGG,0
279,SIMON,0
279,,1
280,DENIAL ,0
280,BYE BBS,0
280,,1
281,,1
281,,6
282,frick,0
282,,0
282,200 PLS,0
282,it's not goodbye it's see u LATER!,0
282,ily simon,0
283,,3
283,GO FASTER ,0
283,,1
284,WOOOOOOO,0
284,SHE BLONGS TO ME,0
284,,4
285,the show is over but the pop will never stop,0
285,,2
286,215 BPM,0
286,,4
286,,4
286,TYSM,0
286,,7
287,,1
287,,0
288,,3
288,THANK YOU SIMON,0
289,FASTEER FASSTTERRR,0
289,160,0
290,FASTER,0
291,,3
292,,1
292,,4
292,Crying ,0
292,,2
293,ayyyyyyyyyyyyyyyyyyyyyyyy,0
294,FASTEST,0
294,,3
294,nghtcorey is my hero,0
296,,1
296,ILY,0
297,THANK YOU THANK YOU THANK YOU,0
298,,4
298,GDI IM NOT READY,0
298,,1
299,NONSTOP POP BUT EVERYTIME ITS NIGHT CORE IT DOESNT STOP,0
300,,1
300,,3
300,,1
301,thanks forever,0
301,LOVE YOUUUU,0
301,Hhhhhhhhhhhhhhhhhhhhhh,0
302,CMON U CAN GO FASTER,0
302,,3
303,luv you simon,0
303,lets go 170 for the love of pop!!!,0
303,,4
303,THANK U SIMON ILU,0
303,LOVE U SIMON,0
303,AAAAAA,0
304,W LOVE YOU TOO SIMON,0
304,,1
304,,1
304,love you too simon,0
305,,4
305,BYE,0
305,thank you for everything simon love uuuuu,0
305,I LOVE YOU BB,0
306,LUV U SIMON,0
306,,3
306,ILY SIMON,0
306,LOVE YOU SIMON,0
306,NOOOOO,0
306,LOVE U SIMON,0
306,,1
306,NOOOOOOOOOOOOOOOOOOOOOOOOOO,0
307,simon your amazing,0
307,LOVE YOU SIMON,0
307,4-Eva not Neva,0
307,,1
308,NOOOO,0
308,,1
308,,4
308,thank u so much simon ILY FOREVER!!!!!!!,0
309,WE LOVE YOU SIMON,0
309,SOOO MUCH,0
309,,0
309,,19
309,Bye yall,0
309,,1
310,bye loser,0
310,,1
311,LUV U SIMON,0
311,,1
312,nooooooooooo,0
312,LOVE YU,0
312,LOVE U SIMON,0
312,TIL NEXT TIME BB,0
312,,1
312,,4
312,thank you for everything,0
312,omg crying,0
